"","x"
"1",0.813291513788614
"2",0.906400202377941
"3",0.716212338593974
"4",0.731001264960592
"5",0.743695941450433
"6",0.756873401534527
"7",0.792499438580732
"8",0.861209335219236
"9",0.799239741228692
"10",0.759506940427993
