"","x"
"1",0.801485382885549
"2",0.906400202377941
"3",0.71280089271481
"4",0.719989620836171
"5",0.737059214903526
"6",0.756234015345269
"7",0.792499438580732
"8",0.861209335219236
"9",0.799239741228692
"10",0.759506940427993
